,web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,Unnamed: 9
0,1582056286-2631,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,MHS,Das Beste iPhone aller Zeiten,5. Januar 2020,"Ich bin sehr zufrieden mit dem iPhone 11. Der Wechsel vom iPhone 6s war ein riesiger Quantensprung, der sich allerdings gelohnt hat. Ich würde es jederzeit wieder kaufen.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=positive&pageNumber=10&reviewerType=all_reviews,
1,1582056184-2351,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Amazon Customer,besser als beim hersteller,21. September 2019,"gestern bestellt, heute geliefert. besser gehts nicht. und rot sieht einfach spitze aus.","5,0 von 5 Sternen",,,
2,1582056243-2561,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Joko Müller,Gutes Handy mit kleinen Schwächen,27. Oktober 2019,"Ich mach es mal kurz:
Gut: Optik, Verarbeitung, Betriebssystem, Kamera
Nicht so gut: Gewicht und Akkulaufzeit","4,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=positive&pageNumber=7&reviewerType=all_reviews,
3,1582056201-2410,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Davorko,Ein sehr edles Stück dieses IPHONE 11,2. Januar 2020,"Amazon hat wieder super-schnell geliefert. Danke dafür. Das Iphone 11 ist soweit ich es bis heute beurteilen kann, das beste Produkt aus der IPHONE-Reihe seit Jahren. Die Kamera liefert fantastische Bilder, das Handy liegt gut in der Hand. Nur der Preis könnte etwas günstiger sein, aber da sind wir bei Apple daran schon gewohnt. Kann dieses Iphone uneingeschränkt jedem empfehlen. Kauft bei Amazon, da habt ihr ohnehin das beste Kundenservice ever.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=positive&pageNumber=4&reviewerType=all_reviews,
4,1582056246-2585,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Chiara Natalia Sozzi,Super,18. Oktober 2019,"Viel früher angekommen als angegeben, tolles Handy hatte ein xr muss aber sagen das 11 hat eine viel bessere Camera schneller und tolle Farben im Angebot.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=positive&pageNumber=8&reviewerType=all_reviews,
5,1582056286-2632,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Sheri,Apple lovers Go for it...,6. Dezember 2019,"Awesome 👍👍
My love ❤️ Apple it's working fantastic
No issues with charge it's comes for one day.
Best of all 11models and variants with better price.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=positive&pageNumber=10&reviewerType=all_reviews,
6,1582056286-2634,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,V.Z.,Das beste IPhone für das Geld!,23. Dezember 2019,"Von allen IPhones aktuell auf dem Markt hat IPhone 11 das beste Preis-Leistung-Verhältnis.
Display, Akku, Performance top!","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=positive&pageNumber=10&reviewerType=all_reviews,
7,1582056349-2657,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Schulze Katrin,Würde es wieder kaufen,15. Januar 2020,Fürs Geschäft perfekt,"5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=positive&pageNumber=12&reviewerType=all_reviews,
8,1582056190-2368,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,stefblo,IPhone 11 klare Kaufempfehlung,4. Oktober 2019,"Habe das IPhone pünktlich von Amazon erhalten.
Das IPhone ist schnell, macht saubere Aufnahmen und ist handlich. Akku ist Top- hält fast 2 Tage.
Ich bin begeistert.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=positive&pageNumber=2&reviewerType=all_reviews,
9,1582056204-2417,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,GG,Most lovely iphone Ever !!,31. Oktober 2019,"Na een snelle bezorging kwam het binnen, de nieuwste iphone. Een maatje groter dan de 6,7,8, maar toch niet te groot.
Uitgepakt en in de hand is het echt een beauty!
Overzetten: binnen 10 minuten is je hele telefoon met wachtwoorden en al overgezet.
Als je m dan vast pakt, laat je die de komende uren niet meer los.
Soepel, handig, snel, mooi, ...
het ultieme geluksmoment komt snel dichterbij, wat mooi, wat goed.
Kortom, Ik zou m direct weer kopen als ik het nogmaals zou moeten doen !","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=positive&pageNumber=5&reviewerType=all_reviews,
10,1582056250-2609,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Michaela H.,Super,14. Januar 2020,"Als Geschenk für unsere Tochter, schnelle Lieferung (war sonst überall ausverkauft) Produkte wie beschrieben tolle Qualität!","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=positive&pageNumber=9&reviewerType=all_reviews,
11,1582056314-2641,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Tom,Einfach viel zu teuer ...,26. Dezember 2019,"... für die gebotene Technik/Qualität, aber was soll Mann machen wenn Frau Apple Fan ist ... ;).","4,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=positive&pageNumber=11&reviewerType=all_reviews,
12,1582056314-2645,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Pascal Gietmann,Typisch Apple,31. Dezember 2019,"Es ist halt Apple! Qualität und Haptik einfach unschlagbar. Preis ist natürlich hoch, aber man bekommt nun mal ein Apple Gerät was auch in 3-4 Jahren immer noch mithalten kann.","5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=positive&pageNumber=11&reviewerType=all_reviews,
13,1582056204-2424,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Amazon Kunde,Ich liebe mein neues IPhone.,23. Oktober 2019,Es ist ein tolles iPhone! Überraschend schnelle Lieferung. Keine Enttäuschung.,"5,0 von 5 Sternen",Weiter→,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=positive&pageNumber=5&reviewerType=all_reviews,
14,1582056184-2353,https://www.amazon.de/Apple-iPhone-11-128-GB-Schwarz/product-reviews/B07XRFCP6G/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1,Serap,Preislich gerade so noch ok.,9. Oktober 2019,"Preislich etwas übertrieben ansonsten gute Qualität. Letztlich bin ich ein Apple Fan-Boy und habe mir das Teil wegen der neusten Generation gekauft. Es macht gute Fotos aber das Mate 30 ist tatsächlich um einiges besser.

Iphone hat einfach nachgelassen, für 400 Euro wäre es in Ordnung. Daher auch nur 4 Sterne.

Von der Leistung her:
+ Bilder
+ Apps
+ Bedienung

Apple eben :)","4,0 von 5 Sternen",,,
