Variable,Importance,token
tfidf_Nachricht_wurden,13.891381559836192,wurden
tfidf_Nachricht_wurde,11.867183187934085,wurde
tfidf_Nachricht_problem,11.458092251797469,problem
tfidf_Nachricht_freue,10.317669998501726,freue
tfidf_Nachricht_neu,9.33502171259959,neu
tfidf_Nachricht_möglicherweise,8.976410537107068,möglicherweise
tfidf_Nachricht_bereitstellen,8.342691592909476,bereitstellen
tfidf_Nachricht_mehr,7.910234186797686,mehr
tfidf_Nachricht_detaillierte,7.791737052545801,detaillierte
tfidf_Nachricht_weiterhin,7.652969140809548,weiterhin
tfidf_Nachricht_jedoch,7.517142439474933,jedoch
tfidf_Nachricht_informationen,7.460637904370329,informationen
tfidf_Nachricht_trotz,7.164239490721812,trotz
tfidf_Nachricht_interessiert,5.625445671762751,interessiert
tfidf_Nachricht_aufgrund,5.555189245905654,aufgrund
tfidf_Nachricht_probleme,5.380227388276242,probleme
tfidf_Nachricht_problems,4.6186493778689295,problems
tfidf_Nachricht_zurückzuführen,4.586404639071169,zurückzuführen
tfidf_Nachricht_vielen,4.504755424801592,vielen
tfidf_Nachricht_besteht,4.165396717091242,besteht
tfidf_Nachricht_ursache,4.163125670043855,ursache
tfidf_Nachricht_veraltete,4.129419196106882,veraltete
tfidf_Nachricht_updates,4.089778507726147,updates
tfidf_Nachricht_dank,4.084206437734314,dank
tfidf_Nachricht_beheben,4.01355857969028,beheben
tfidf_Nachricht_versucht,3.927096886941242,versucht
tfidf_Nachricht_festgestellt,3.9137879466160523,festgestellt
tfidf_Nachricht_könnten,3.8278780154878778,könnten
tfidf_Nachricht_möchte,3.819140481793583,möchte
tfidf_Nachricht_lösung,3.789257035088395,lösung
tfidf_Nachricht_praktiken,3.7762973027319244,praktiken
tfidf_Nachricht_erkundigen,3.663710214803007,erkundigen
tfidf_Nachricht_lösen,3.6628358654373496,lösen
tfidf_Nachricht_erhalten,3.5758128723982376,erhalten
tfidf_Nachricht_dienstleistungen,3.4046642688585878,dienstleistungen
tfidf_Nachricht_melden,3.264875038655608,melden
tfidf_Nachricht_neustart,3.1976009061954147,neustart
tfidf_Nachricht_optimierung,3.166659095105395,optimierung
tfidf_Nachricht_bestehen,3.1310533564400336,bestehen
tfidf_Nachricht_aktualisiert,3.108187184800391,aktualisiert
tfidf_Nachricht_verursacht,3.098018425271563,verursacht
tfidf_Nachricht_besten,3.069199904081682,besten
tfidf_Nachricht_integration,3.0183571116952645,integration
tfidf_Nachricht_cache,2.883432805807091,cache
tfidf_Nachricht_schwierigkeiten,2.787929911219438,schwierigkeiten
tfidf_Nachricht_darauf,2.780940430267609,darauf
tfidf_Nachricht_medizinischer,2.7748560759776058,medizinischer
tfidf_Nachricht_details,2.756359442650915,details
tfidf_Nachricht_durchgeführt,2.75339680734781,durchgeführt
tfidf_Nachricht_erfahren,2.7510308440139504,erfahren
tfidf_Nachricht_treffen,2.6754360660146013,treffen
tfidf_Nachricht_behält,2.6074923493058124,behält
tfidf_Nachricht_beeinträchtigt,2.5965554607489367,beeinträchtigt
tfidf_Nachricht_saas,2.5634601545216764,saas
tfidf_Nachricht_stellen,2.5252374149954275,stellen
tfidf_Nachricht_rückmeldung,2.522571027425413,rückmeldung
tfidf_Nachricht_insbesondere,2.4776701487008244,insbesondere
tfidf_Nachricht_ziel,2.4685136322945556,ziel
tfidf_Nachricht_verfügung,2.4591320311827647,verfügung
tfidf_Nachricht_hören,2.4395903432663215,hören
tfidf_Nachricht_überprüft,2.4308213965529566,überprüft
tfidf_Nachricht_ausführliche,2.4179228028332935,ausführliche
tfidf_Nachricht_bereits,2.4100422122069376,bereits
tfidf_Nachricht_zeit,2.39592824391177,zeit
tfidf_Nachricht_verzögerungen,2.3767881871275605,verzögerungen
tfidf_Nachricht_markenwachstum,2.2771371948148853,markenwachstum
tfidf_Nachricht_gestartet,2.2201872713917847,gestartet
tfidf_Nachricht_scheint,2.219625462521769,scheint
tfidf_Nachricht_starten,2.2012506629118995,starten
tfidf_Nachricht_untersuchung,2.193881037638535,untersuchung
tfidf_Nachricht_benötigen,2.1938548603911516,benötigen
tfidf_Nachricht_ressourcen,2.1490733250864613,ressourcen
tfidf_Nachricht_weitere,2.1427499354952944,weitere
tfidf_Nachricht_caches,1.9562079064057052,caches
tfidf_Nachricht_freuen,1.9385261618484844,freuen
tfidf_Nachricht_verfügbaren,1.9300950114686475,verfügbaren
tfidf_Nachricht_fördern,1.9090475619136522,fördern
tfidf_Nachricht_anforderungen,1.8282405874306078,anforderungen
tfidf_Nachricht_möchten,1.7931651374632063,möchten
tfidf_Nachricht_bemühungen,1.7671757826402954,bemühungen
tfidf_Nachricht_firewall,1.730692409887572,firewall
tfidf_Nachricht_versuche,1.703217931881717,versuche
tfidf_Nachricht_hinaus,1.696770306549411,hinaus
tfidf_Nachricht_fehler,1.6854014923748148,fehler
tfidf_Nachricht_gefährdet,1.6802333792141253,gefährdet
tfidf_Nachricht_verbessern,1.6498454212518967,verbessern
tfidf_Nachricht_gerne,1.6190574412453393,gerne
tfidf_Nachricht_system,1.6048050436771908,system
tfidf_Nachricht_anfrage,1.5946180723161434,anfrage
tfidf_Nachricht_integrität,1.5917527720044022,integrität
tfidf_Nachricht_projektmanagement,1.574810967997664,projektmanagement
tfidf_Nachricht_unternommen,1.5738035525673904,unternommen
tfidf_Nachricht_strategien,1.563628003220554,strategien
tfidf_Nachricht_ursachen,1.523600384070048,ursachen
tfidf_Nachricht_zukünftige,1.4818989892856242,zukünftige
tfidf_Nachricht_sowie,1.4363350581235772,sowie
tfidf_Nachricht_kürzlich,1.4357777172373698,kürzlich
tfidf_Nachricht_schreibe,1.4138725080159322,schreibe
tfidf_Nachricht_einblicke,1.3938233213496378,einblicke
tfidf_Nachricht_geehrte,1.3910863729532184,geehrte
tfidf_Nachricht_schritt,1.3886367557041555,schritt
tfidf_Nachricht_leider,1.3787276077796715,leider
tfidf_Nachricht_darüber,1.3581025880378383,darüber
tfidf_Nachricht_ermöglichen,1.3579407647410326,ermöglichen
tfidf_Nachricht_fehlerbehebung,1.3575598118217338,fehlerbehebung
tfidf_Nachricht_anleitung,1.354011356271087,anleitung
